time;Job;Res;C;solution
10;Общий входной поток(b592b728-7111-11ef-8ced-30f6ef8c05a5);Основной исполитель(RS_1);68485004,0;1
11;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
11;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
12;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
12;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
13;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
13;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
14;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
14;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
15;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
15;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
16;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
16;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
17;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
17;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
18;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
18;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
19;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);54859196,0;1
19;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
